Epoch 1, Average Loss: 0.030700880861282347, Training Accuracy: 0.24652, Testing Accuracy 0.3161
Epoch 2, Average Loss: 0.026120075430870054, Training Accuracy: 0.35732, Testing Accuracy 0.422
Epoch 3, Average Loss: 0.023002301712036134, Training Accuracy: 0.45316, Testing Accuracy 0.4966
Epoch 4, Average Loss: 0.02047726799607277, Training Accuracy: 0.52686, Testing Accuracy 0.5448
Epoch 5, Average Loss: 0.01878171049118042, Training Accuracy: 0.56968, Testing Accuracy 0.6008
Epoch 6, Average Loss: 0.017334357171058655, Training Accuracy: 0.6085, Testing Accuracy 0.6368
Epoch 7, Average Loss: 0.016287829840183256, Training Accuracy: 0.63242, Testing Accuracy 0.667
Epoch 8, Average Loss: 0.015540613657236099, Training Accuracy: 0.65214, Testing Accuracy 0.6723
Epoch 9, Average Loss: 0.014765454753637313, Training Accuracy: 0.67028, Testing Accuracy 0.7026
Epoch 10, Average Loss: 0.014266061156392097, Training Accuracy: 0.68338, Testing Accuracy 0.683
Epoch 11, Average Loss: 0.013563726760149003, Training Accuracy: 0.69896, Testing Accuracy 0.7196
Epoch 12, Average Loss: 0.01320673007786274, Training Accuracy: 0.7069, Testing Accuracy 0.7572
Epoch 13, Average Loss: 0.012728627400994301, Training Accuracy: 0.71798, Testing Accuracy 0.7537
Epoch 14, Average Loss: 0.012256000033020973, Training Accuracy: 0.73042, Testing Accuracy 0.7687
Epoch 15, Average Loss: 0.011809577459692955, Training Accuracy: 0.74104, Testing Accuracy 0.7664
Epoch 16, Average Loss: 0.01141394900918007, Training Accuracy: 0.74704, Testing Accuracy 0.7829
Epoch 17, Average Loss: 0.01163246071755886, Training Accuracy: 0.74442, Testing Accuracy 0.7918
Epoch 18, Average Loss: 0.010741254024505615, Training Accuracy: 0.7645, Testing Accuracy 0.7896
Epoch 19, Average Loss: 0.010403583897948265, Training Accuracy: 0.77152, Testing Accuracy 0.7992
Epoch 20, Average Loss: 0.01005498587101698, Training Accuracy: 0.78142, Testing Accuracy 0.8112
Epoch 21, Average Loss: 0.00983494060754776, Training Accuracy: 0.78644, Testing Accuracy 0.7993
Epoch 22, Average Loss: 0.009589950184226035, Training Accuracy: 0.78974, Testing Accuracy 0.8247
Epoch 23, Average Loss: 0.00949178970694542, Training Accuracy: 0.7927, Testing Accuracy 0.8151
Epoch 24, Average Loss: 0.009165694822669029, Training Accuracy: 0.79898, Testing Accuracy 0.8235
Epoch 25, Average Loss: 0.009044284714758396, Training Accuracy: 0.80252, Testing Accuracy 0.8201
Epoch 26, Average Loss: 0.008845763543844223, Training Accuracy: 0.80762, Testing Accuracy 0.826
Epoch 27, Average Loss: 0.008676117440909147, Training Accuracy: 0.81116, Testing Accuracy 0.8255
Epoch 28, Average Loss: 0.008594086292386055, Training Accuracy: 0.81142, Testing Accuracy 0.8271
Epoch 29, Average Loss: 0.008392009464204311, Training Accuracy: 0.81594, Testing Accuracy 0.8356
Epoch 30, Average Loss: 0.008297637007534504, Training Accuracy: 0.81778, Testing Accuracy 0.8315
Epoch 31, Average Loss: 0.008182707984745503, Training Accuracy: 0.82262, Testing Accuracy 0.832
Epoch 32, Average Loss: 0.00810706354022026, Training Accuracy: 0.8227, Testing Accuracy 0.8387
Epoch 33, Average Loss: 0.008051489864885807, Training Accuracy: 0.82258, Testing Accuracy 0.8299
Epoch 34, Average Loss: 0.007867357162833214, Training Accuracy: 0.8271, Testing Accuracy 0.8406
Epoch 35, Average Loss: 0.0077926491793990135, Training Accuracy: 0.82884, Testing Accuracy 0.8504
Epoch 36, Average Loss: 0.007814747556746006, Training Accuracy: 0.82958, Testing Accuracy 0.85
Epoch 37, Average Loss: 0.0076888601803779605, Training Accuracy: 0.8325, Testing Accuracy 0.8478
Epoch 38, Average Loss: 0.0075364359942078595, Training Accuracy: 0.83472, Testing Accuracy 0.8487
Epoch 39, Average Loss: 0.007499930479824543, Training Accuracy: 0.83486, Testing Accuracy 0.8329
Epoch 40, Average Loss: 0.007459043165743351, Training Accuracy: 0.83804, Testing Accuracy 0.8537
Epoch 41, Average Loss: 0.007369172372817993, Training Accuracy: 0.83846, Testing Accuracy 0.8461
Epoch 42, Average Loss: 0.007372003373205662, Training Accuracy: 0.83892, Testing Accuracy 0.8581
Epoch 43, Average Loss: 0.007211848224699498, Training Accuracy: 0.84244, Testing Accuracy 0.8465
Epoch 44, Average Loss: 0.007149473993778229, Training Accuracy: 0.8432, Testing Accuracy 0.8516
Epoch 45, Average Loss: 0.007129616550803184, Training Accuracy: 0.84414, Testing Accuracy 0.8593
